FIPS_Code,County_name,Overall Homeless 2019,Overall Homeless 2018,Overall Homeless 2017,Overall Homeless 2016,Overall Homeless 2015,Overall Homeless - Under 18 ,Overall Homeless - Age 18 to 24,Overall Homeless - Over 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Non-Hispanic,Overall Homeless - Hispanic/Latino,Overall Homeless - White,Overall Homeless - Black or African American,Overall Homeless - Asian,Overall Homeless - American Indian or Alaska Native,Overall Homeless - Native Hawaiian or Other Pacific Islander,Overall Homeless - Multiple Races,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Metro_2013,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,Total Households,Population 25 years and older,Employment Status of the Population 16 years and over,Employed,Unemployed,Unemployment Rate,Percent Worked at Home,Median Household Income ($),Percent Families in Poverty,Total Housing Units,Percent Occupied,Percent Vacant,Total Population,total_beds_2020,total_beds_2019,total beds_2018,total beds_ 2017,total_beds_2016,total_beds_2015
24001,Allegany County,145.0,79.0,118.0,124.0,96.0,27,9,109.0,98,47.0,145.0,0,119,14.0,0,0,0,12,3,2,1,"32,861","30,932","1,929",5.9,"33,122","30,951","2,171",6.6,"33,482","31,260","2,222",6.6,"34,684","32,452","2,232",6.4,"35,080","32,770","2,310",6.6,"35,464","33,124","2,340",6.6,"35,475","33,317","2,158",6.1,"35,190","33,262","1,928",5.5,"35,668","33,521","2,147",6.0,"36,454","33,109","3,345",9.2,"34,477","31,189","3,288",9.5,"34,102","30,990","3,112",9.1,"33,850","30,875","2,975",8.8,"33,614","30,785","2,829",8.4,"33,252","30,763","2,489",7.5,"32,260","30,051","2,209",6.8,"32,365","30,416","1,949",6.0,"32,244","30,414","1,830",5.7,"32,102","30,386","1,716",5.3,"32,253","30,618","1,635",5.1,"30,835","28,437","2,398",7.8,"48,170",55.6,27759,50489,61337,28738,2853,9.0,1.7,42771,10.6,33211,84.0,16.0,72591,144,124,124,116,131,131
24003,Anne Arundel County,302.0,366.0,376.0,390.0,335.0,49,23,230.0,112,189.0,296.0,6,164,118.0,1,1,0,18,1,1,1,"267,305","259,292","8,013",3.0,"270,715","261,010","9,705",3.6,"272,833","261,382","11,451",4.2,"270,760","259,619","11,141",4.1,"270,631","259,765","10,866",4.0,"274,969","264,459","10,510",3.8,"279,772","269,707","10,065",3.6,"281,588","272,510","9,078",3.2,"285,489","274,099","11,390",4.0,"288,114","268,328","19,786",6.9,"286,473","266,214","20,259",7.1,"289,406","270,942","18,464",6.4,"293,879","276,469","17,410",5.9,"296,534","279,785","16,749",5.6,"297,403","282,564","14,839",5.0,"300,799","287,823","12,976",4.3,"303,234","292,085","11,149",3.7,"309,654","298,823","10,831",3.5,"313,391","303,258","10,133",3.2,"321,069","311,556","9,513",3.0,"310,413","292,309","18,104",5.8,"100,916",116.5,205395,387306,451557,290628,15891,5.2,5.1,94502,3.9,219319,93.1,6.9,564600,143,153,151,173,234,237
24005,Baltimore County,735.0,758.0,609.0,763.0,745.0,188,33,514.0,344,391.0,723.0,12,253,439.0,3,4,1,35,1,1,1,"407,954","392,949","15,005",3.7,"412,080","394,321","17,759",4.3,"414,843","394,366","20,477",4.9,"413,833","392,867","20,966",5.1,"413,002","393,167","19,835",4.8,"420,317","400,813","19,504",4.6,"428,922","410,696","18,226",4.2,"429,814","413,498","16,316",3.8,"433,891","413,616","20,275",4.7,"435,306","400,495","34,811",8.0,"432,111","395,705","36,406",8.4,"435,678","401,906","33,772",7.8,"440,412","408,491","31,921",7.2,"442,142","411,999","30,143",6.8,"441,320","414,836","26,484",6.0,"444,707","421,631","23,076",5.2,"444,683","424,736","19,947",4.5,"450,777","431,563","19,214",4.3,"451,429","433,700","17,729",3.9,"459,091","442,597","16,494",3.6,"445,695","415,263","30,432",6.8,"76,972",88.8,312859,573263,670033,420974,24399,5.5,4.0,71810,6.0,337031,93.0,7.0,828637,595,582,585,450,434,430
24009,Calvert County,102.0,164.0,140.0,155.0,327.0,17,7,26.0,42,57.0,101.0,1,38,58.0,0,1,0,4,1,1,1,"40,333","39,130","1,203",3.0,"41,118","39,753","1,365",3.3,"42,748","41,158","1,590",3.7,"44,352","42,685","1,667",3.8,"45,078","43,409","1,669",3.7,"46,095","44,389","1,706",3.7,"47,339","45,730","1,609",3.4,"47,899","46,452","1,447",3.0,"49,210","47,401","1,809",3.7,"49,164","46,058","3,106",6.3,"47,901","44,522","3,379",7.1,"47,730","44,595","3,135",6.6,"47,732","44,781","2,951",6.2,"47,757","44,952","2,805",5.9,"47,212","44,735","2,477",5.2,"46,993","44,875","2,118",4.5,"48,750","46,930","1,820",3.7,"49,391","47,628","1,763",3.6,"49,753","48,044","1,709",3.4,"50,751","49,192","1,559",3.1,"48,543","46,006","2,537",5.2,"111,056",128.2,31462,61269,71843,45756,3577,7.3,5.3,100350,3.3,34613,90.4,9.6,90824,70,53,54,55,63,109
24011,Caroline County,33.0,29.0,31.0,28.0,32.0,10,3,21.0,17,16.0,31.0,3,17,14.0,0,1,1,2,6,4,0,"15,346","14,798",548,3.6,"15,506","14,762",744,4.8,"15,881","15,102",779,4.9,"15,614","14,746",868,5.6,"15,953","15,139",814,5.1,"16,213","15,444",769,4.7,"16,179","15,417",762,4.7,"16,313","15,587",726,4.5,"16,624","15,680",944,5.7,"16,559","14,954","1,605",9.7,"17,459","15,803","1,656",9.5,"17,493","15,967","1,526",8.7,"17,617","16,272","1,345",7.6,"17,678","16,464","1,214",6.9,"17,406","16,332","1,074",6.2,"17,460","16,525",935,5.4,"17,643","16,830",813,4.6,"17,984","17,227",757,4.2,"18,236","17,561",675,3.7,"18,361","17,719",642,3.5,"17,436","16,469",967,5.5,"60,143",69.4,11996,22216,25875,15674,1087,6.5,2.6,52469,12.1,13525,88.4,11.6,32785,21,18,14,18,17,13
24013,Carroll County,144.0,173.0,147.0,136.0,140.0,22,17,105.0,57,84.0,141.0,3,111,15.0,0,2,0,16,1,1,1,"83,866","81,396","2,470",2.9,"85,524","82,674","2,850",3.3,"87,796","84,411","3,385",3.9,"88,933","85,460","3,473",3.9,"89,915","86,535","3,380",3.8,"92,055","88,743","3,312",3.6,"94,953","91,711","3,242",3.4,"94,564","91,585","2,979",3.2,"95,810","92,077","3,733",3.9,"95,692","89,068","6,624",6.9,"92,731","86,236","6,495",7.0,"92,864","87,107","5,757",6.2,"93,319","87,885","5,434",5.8,"93,054","87,988","5,066",5.4,"92,570","88,185","4,385",4.7,"93,014","89,165","3,849",4.1,"93,015","89,753","3,262",3.5,"94,258","91,121","3,137",3.3,"95,389","92,394","2,995",3.1,"96,933","94,187","2,746",2.8,"93,073","88,333","4,740",5.1,"101,810",117.5,60432,115213,135084,88335,3635,4.0,4.7,90510,3.4,63123,95.6,4.4,167319,85,98,134,112,127,115
24015,Cecil County,126.0,129.0,193.0,167.0,191.0,28,3,95.0,34,92.0,119.0,7,91,30.0,0,0,0,5,1,1,1,"45,734","44,136","1,598",3.5,"46,265","44,384","1,881",4.1,"47,018","44,755","2,263",4.8,"47,819","45,177","2,642",5.5,"48,546","46,252","2,294",4.7,"49,854","47,365","2,489",5.0,"50,999","48,593","2,406",4.7,"50,863","48,768","2,095",4.1,"51,355","48,575","2,780",5.4,"51,428","46,401","5,027",9.8,"52,082","47,005","5,077",9.7,"52,121","47,454","4,667",9.0,"51,898","47,630","4,268",8.2,"52,235","48,243","3,992",7.6,"52,420","49,013","3,407",6.5,"52,545","49,457","3,088",5.9,"52,564","49,912","2,652",5.0,"52,896","50,400","2,496",4.7,"52,869","50,597","2,272",4.3,"53,891","51,812","2,079",3.9,"52,083","48,988","3,095",5.9,"75,307",86.9,37076,69969,81142,50620,3121,5.8,4.6,70516,6.5,42269,87.3,12.7,102416,121,121,132,132,134,131
24017,Charles County,102.0,164.0,140.0,155.0,327.0,17,7,78.0,42,57.0,102.0,1,38,59.0,1,1,1,5,1,1,1,"65,066","63,161","1,905",2.9,"66,188","64,003","2,185",3.3,"67,843","65,284","2,559",3.8,"69,785","67,192","2,593",3.7,"70,919","68,310","2,609",3.7,"72,832","70,131","2,701",3.7,"74,909","72,358","2,551",3.4,"76,376","73,999","2,377",3.1,"78,275","75,276","2,999",3.8,"78,435","73,478","4,957",6.3,"78,337","72,775","5,562",7.1,"79,025","73,669","5,356",6.8,"79,594","74,359","5,235",6.6,"80,247","75,103","5,144",6.4,"80,126","75,591","4,535",5.7,"80,471","76,540","3,931",4.9,"83,812","80,379","3,433",4.1,"85,696","82,334","3,362",3.9,"86,671","83,431","3,240",3.7,"89,012","85,871","3,141",3.5,"86,099","80,309","5,790",6.7,"102,510",118.3,54988,103318,122589,78635,3738,4.5,3.7,93973,5.2,58014,93.4,6.6,156021,71,53,53,55,63,110
24019,Dorchester County,33.0,28.0,31.0,28.0,32.0,10,3,21.0,17,16.0,30.0,3,17,13.0,0,0,0,3,6,5,0,"15,572","14,783",789,5.1,"16,037","14,988","1,049",6.5,"16,394","15,250","1,144",7.0,"16,349","15,140","1,209",7.4,"17,032","15,957","1,075",6.3,"17,059","16,055","1,004",5.9,"16,904","15,861","1,043",6.2,"16,799","15,758","1,041",6.2,"16,809","15,607","1,202",7.2,"17,017","15,069","1,948",11.4,"16,586","14,657","1,929",11.6,"16,534","14,679","1,855",11.2,"16,171","14,441","1,730",10.7,"15,949","14,405","1,544",9.7,"15,775","14,470","1,305",8.3,"15,790","14,680","1,110",7.0,"15,863","14,911",952,6.0,"15,649","14,769",880,5.6,"15,549","14,767",782,5.0,"16,152","15,424",728,4.5,"15,990","14,923","1,067",6.7,"48,709",56.2,12940,23131,26313,15240,1373,8.3,2.6,50532,11.9,16700,77.3,22.7,32386,21,18,14,18,17,13
24021,Frederick County,286.0,316.0,309.0,349.0,311.0,46,20,220.0,82,204.0,272.0,14,183,81.0,2,0,0,20,1,1,1,"109,517","106,576","2,941",2.7,"111,805","108,130","3,675",3.3,"115,014","110,753","4,261",3.7,"116,543","112,187","4,356",3.7,"117,685","113,453","4,232",3.6,"120,530","116,423","4,107",3.4,"123,559","119,363","4,196",3.4,"124,435","120,589","3,846",3.1,"124,426","119,634","4,792",3.9,"124,770","116,310","8,460",6.8,"128,100","119,018","9,082",7.1,"128,615","120,249","8,366",6.5,"128,681","120,933","7,748",6.0,"128,447","121,130","7,317",5.7,"128,021","121,643","6,378",5.0,"128,473","122,837","5,636",4.4,"128,533","123,692","4,841",3.8,"130,931","126,222","4,709",3.6,"133,753","129,224","4,529",3.4,"137,920","133,683","4,237",3.1,"132,867","124,969","7,898",5.9,"102,951",118.8,90022,166221,194819,130387,6974,5.1,6.1,88502,4.5,93645,95.1,4.9,246105,252,252,274,282,260,274
